topic,cited_publication_id,citing_publication_id
ai-and-sociology,PB:390527396,PB:397933649
ai-and-sociology,PB:390527396,PB:397094004
ai-and-sociology,PB:390527396,PB:397281079
ai-and-sociology,PB:390527396,PB:396249718
ai-and-sociology,PB:390527396,PB:396240005
ai-and-sociology,PB:390527396,PB:396015154
ai-and-sociology,PB:390527396,PB:395806167
ai-and-sociology,PB:390527396,PB:395418363
ai-and-sociology,PB:390527396,PB:395552191
ai-and-sociology,PB:390527396,PB:395177900
ai-and-sociology,PB:396476634,PB:397527915
ai-and-sociology,PB:396476634,PB:397527514
ai-and-sociology,PB:396476634,PB:397527364
ai-and-sociology,PB:396476634,PB:397527358
ai-and-sociology,PB:396476634,PB:397527352
ai-and-sociology,PB:396476634,PB:397527348
ai-and-sociology,PB:396476634,PB:397527156
ai-and-sociology,PB:396476634,PB:397527072
ai-and-sociology,PB:396476634,PB:397526985
ai-and-sociology,PB:396476634,PB:397526979
ai-and-sociology,PB:385396843,PB:397642876
ai-and-sociology,PB:385396843,PB:397329707
ai-and-sociology,PB:385396843,PB:397252968
ai-and-sociology,PB:385396843,PB:396573220
ai-and-sociology,PB:385396843,PB:395056738
ai-and-sociology,PB:385396843,PB:394991049
ai-and-sociology,PB:385396843,PB:394401800
ai-and-sociology,PB:385396843,PB:393313221
ai-and-sociology,PB:385396843,PB:397547483
ai-and-sociology,PB:385396843,PB:391467866
ai-and-sociology,PB:396256646,PB:396680225
ai-and-sociology,PB:396256646,PB:396517186
ai-and-sociology,PB:396256646,PB:396244488
ai-and-sociology,PB:396256646,PB:394890037
ai-and-sociology,PB:396256646,PB:394473591
ai-and-sociology,PB:396256646,PB:391530013
ai-and-sociology,PB:396256646,PB:381399683
ai-and-sociology,PB:396256646,PB:379815218
ai-and-sociology,PB:396256646,PB:397916185
ai-and-sociology,PB:396256646,PB:397823872
ai-and-sociology,PB:393061956,PB:397740508
ai-and-sociology,PB:393061956,PB:397744421
ai-and-sociology,PB:393061956,PB:397743892
ai-and-sociology,PB:393061956,PB:397740833
ai-and-sociology,PB:393061956,PB:395099046
ai-and-sociology,PB:393061956,PB:395585276
ai-and-sociology,PB:393061956,PB:395193715
ai-and-sociology,PB:387939344,PB:397063856
ai-and-sociology,PB:387939344,PB:392368553
ai-and-sociology,PB:387939344,PB:392437484
ai-and-sociology,PB:387939344,PB:392458031
ai-and-sociology,PB:387939344,PB:392365125
ai-and-sociology,PB:387939344,PB:391207384
ai-and-sociology,PB:382444157,PB:395547628
ai-and-sociology,PB:382444157,PB:390959724
ai-and-sociology,PB:382444157,PB:389439017
ai-and-sociology,PB:382444157,PB:389180481
ai-and-sociology,PB:382444157,PB:397307012
ai-and-sociology,PB:382444157,PB:395923749
ai-and-sociology,PB:391308692,PB:395030572
ai-and-sociology,PB:391308692,PB:394486672
ai-and-sociology,PB:391308692,PB:397470866
ai-and-sociology,PB:391308692,PB:396278405
ai-and-sociology,PB:391308692,PB:393978594
ai-and-sociology,PB:389815745,PB:395115138
ai-and-sociology,PB:389815745,PB:395115123
ai-and-sociology,PB:389815745,PB:395115038
ai-and-sociology,PB:389815745,PB:395114955
