topic,publication_id,title,url,authors
ai-and-sociology,PB:396959468,"Zero Trust, Full Intelligence: PI/SPI/PHI/NPI/PCI Redaction Strategies for Agentic and Next-Gen AI Ecosystems",,[]
ai-and-sociology,PB:397386113,AutoGenAgents: A Practical Framework for Autonomous Generative Content Creation from Multi-Source Documents,https://www.researchgate.net/publication/397386113_AutoGenAgents_A_Practical_Framework_for_Autonomous_Generative_Content_Creation_from_Multi-Source_Documents,['Rashmiranjan Pradhan']
ai-and-sociology,PB:397222563,Prompting the Future: Evolving Human-AI Languages for the Next Generation of Intelligence,https://www.researchgate.net/publication/397222563_Prompting_the_Future_Evolving_Human-AI_Languages_for_the_Next_Generation_of_Intelligence,['Rashmiranjan Pradhan']
ai-and-sociology,PB:397097922,"Multi-Agent Systems in AIOps: Enhancing Detection, Diagnosis, and Remediation",https://www.researchgate.net/publication/397097922_Multi-Agent_Systems_in_AIOps_Enhancing_Detection_Diagnosis_and_Remediation,['Rashmiranjan Pradhan']
ai-and-sociology,PB:392276624,Sociology in crisis,,[]
ai-and-sociology,PB:397417718,Metamorphoses of Sociology in Times of Crisis,https://www.researchgate.net/publication/397417718_Metamorphoses_of_Sociology_in_Times_of_Crisis,"['In', 'Raquel Andrade Weiss', 'Felipe Maia', 'Giuseppe Ricotta']"
ai-and-sociology,PB:397405220,Metamorphoses of Sociology in Times of CrisisMetamorfosis de la sociología en tiempos de crisisMetamorfoses da Sociologia em Tempos de Crise,https://www.researchgate.net/publication/397405220_Metamorphoses_of_Sociology_in_Times_of_CrisisMetamorfosis_de_la_sociologia_en_tiempos_de_crisisMetamorfoses_da_Sociologia_em_Tempos_de_Crise,"['Raquel Andrade Weiss', 'Felipe Maia', 'Giuseppe Ricotta']"
ai-and-sociology,PB:396127200,Metamorfoses da Sociologia em Tempos de Crise,https://www.researchgate.net/publication/396127200_Metamorfoses_da_Sociologia_em_Tempos_de_Crise,"['Felipe Maia', 'Raquel Andrade Weiss', 'Giuseppe Ricotta']"
ai-and-sociology,PB:371834847,"Sociology of Artificial Intelligence: How AI Will Transform Work, Unemployment and Our Future",,[]
ai-and-sociology,PB:387939344,Sociology of Artificial Intelligence for Social Sustainability in the Digital Age,https://www.researchgate.net/publication/387939344_Sociology_of_Artificial_Intelligence_for_Social_Sustainability_in_the_Digital_Age,"['Sandro Serpa', 'Ljubisa Micic', 'Anđelka Štilić', 'Zoran Mastilo']"
ai-and-sociology,PB:395866333,Between national development and personal precarity: the social construction of robotaxis from taxi drivers’ perspective in China,https://www.researchgate.net/publication/395866333_Between_national_development_and_personal_precarity_the_social_construction_of_robotaxis_from_taxi_drivers'_perspective_in_China,"['Ning Zhan', 'Donghao Jiang', 'Min Xu']"
ai-and-sociology,PB:385882718,Rethinking the Welfare State in a Global Context in the Post-Pandemic Digital Age,https://www.researchgate.net/publication/385882718_Rethinking_the_Welfare_State_in_a_Global_Context_in_the_Post-Pandemic_Digital_Age,['Cansu Kandara']
ai-and-sociology,PB:394094027,AI literacy as a core component of AI education,,[]
ai-and-sociology,PB:396775849,A Framework for the Adoption and Integration of Generative AI in Midsize Organizations and Enterprises (FAIGMOE),https://www.researchgate.net/publication/396775849_A_Framework_for_the_Adoption_and_Integration_of_Generative_AI_in_Midsize_Organizations_and_Enterprises_FAIGMOE,['Abraham Itzhak Weinberg']
ai-and-sociology,PB:395971448,Amplifying the Student Voice in AI Policy Development: Evaluating Engagement Levels Through Bloom's Taxonomy,https://www.researchgate.net/publication/395971448_Amplifying_the_Student_Voice_in_AI_Policy_Development_Evaluating_Engagement_Levels_Through_Bloom's_Taxonomy,['Daniel Lee']
ai-and-sociology,PB:395526824,Do Teachers Dream of GenAI Widening Educational (In)equality? Envisioning the Future of K-12 GenAI Education from Global Teachers' Perspectives,https://www.researchgate.net/publication/395526824_Do_Teachers_Dream_of_GenAI_Widening_Educational_Inequality_Envisioning_the_Future_of_K-12_GenAI_Education_from_Global_Teachers'_Perspectives,"['Ruiwei Xiao', 'Qing Xiao', 'Xinying Hou', 'Phenyo Phemelo Moletsane', 'John Stamper']"
ai-and-sociology,PB:393996362,The Promises and Perils of AI for Sociology,,[]
ai-and-sociology,PB:397111071,Sociology in Existential Times,https://www.researchgate.net/publication/397111071_Sociology_in_Existential_Times,['Howard Ramos']
